City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,darab,28.7519,54.5444,31.44,14,9,2.4,IR,1683871464
83,gulf shores,30.246,-87.7008,22.25,60,75,3.09,US,1683871465
84,abu al matamir,30.9102,30.1744,18.27,55,0,5.95,EG,1683871465
85,mount gambier,-37.8333,140.7667,14.89,56,5,2.59,AU,1683871455
86,stanley,54.868,-1.6985,8.77,95,100,4.63,GB,1683871466
87,villa de reyes,21.8,-100.9333,20.09,30,0,0.6,MX,1683871466
88,margaret river,-33.95,115.0667,18.0,56,93,6.39,AU,1683871467
89,kiziltepe,37.1933,40.585,26.2,36,75,3.6,TR,1683871467
90,chatham,51.3789,0.5279,11.17,64,89,3.13,GB,1683871258
91,wailua homesteads,22.0669,-159.378,22.24,86,75,5.66,US,1683871468
92,sivrihisar,39.4504,31.5341,12.84,82,100,1.6,TR,1683871468
93,la'ie,21.6477,-157.9253,23.98,75,42,1.34,US,1683871469
94,georgetown,5.4112,100.3354,34.97,66,20,4.12,MY,1683871429
95,enewetak,11.3474,162.3373,27.65,83,67,6.88,MH,1683871470
96,leh,34.1667,77.5833,7.36,19,66,0.59,IN,1683871470
97,porto novo,6.4965,2.6036,28.9,85,49,1.09,BJ,1683871471
98,elliot lake,46.3834,-82.6331,12.14,95,39,1.93,CA,1683871367
99,tolanaro,-25.0319,46.9987,25.04,83,40,8.23,MG,1683871471
100,lerwick,60.1545,-1.1494,7.0,84,0,2.7,GB,1683871472
101,shache,38.4167,77.2406,26.53,7,95,1.36,CN,1683871472
102,harper,4.375,-7.7169,27.13,84,98,2.28,LR,1683871472
103,olonkinbyen,70.9221,-8.7187,0.71,93,74,8.21,SJ,1683871473
104,mbanza-ngungu,-5.25,14.8667,21.1,90,87,0.95,CD,1683871473
105,bolivar,37.6145,-93.4105,20.63,95,98,4.03,US,1683871474
106,smithers,54.7804,-127.1743,14.18,38,75,2.06,CA,1683871262
107,port augusta,-32.5,137.7667,19.8,48,5,5.81,AU,1683871475
108,al bardiyah,31.7561,25.0865,19.4,67,0,6.14,LY,1683871475
109,pitimbu,-7.4706,-34.8086,25.33,80,51,2.95,BR,1683871475
110,otjiwarongo,-20.4637,16.6477,17.24,29,96,3.56,NA,1683871476
111,amahai,-3.3333,128.9167,25.87,92,98,3.0,ID,1683871476
112,holmsund,63.706,20.3641,12.97,57,0,2.06,SE,1683871477
113,st. john's,47.5649,-52.7093,2.21,72,20,2.24,CA,1683871259
114,college,64.8569,-147.8028,14.18,50,75,2.57,US,1683871477
115,selfoss,63.9331,-20.9971,8.91,98,100,7.3,IS,1683871478
116,utrik,11.2278,169.8474,27.32,83,66,7.37,MH,1683871478
117,dryden,49.7833,-92.7503,12.16,87,75,1.54,CA,1683871331
118,ponta pora,-22.5361,-55.7256,11.32,77,52,1.68,BR,1683871479
119,ancud,-41.8697,-73.8203,12.32,97,100,3.9,CL,1683871240
